bra,agi,Tair10_desc
Bo5g013590,AT1G11240,unknown protein
Bo5g013530,AT1G11180,secretory carrier membrane protein (SCAMP) family protein
Bo5g013520,AT1G11170,unknown protein
Bo5g013490,AT1G11120,unknown protein
Bo5g013480,AT1G11112,unknown protein
Bo5g013460,AT1G11080,scpl31 (serine carboxypeptidase-like 31); serine-type carboxypeptidase
Bo5g013450,AT1G11070,LOCATED IN: cellular_component unknown; EXPRESSED IN: inflorescence meristem flower root leaf; EXPRESSED DURING: 4 anthesis LP.04 four leaves visible LP.02 two leaves visible petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: proline-rich family protein (TAIR:AT1G61080.1); Has 36868 Blast hits to 20071 proteins in 902 species: Archae - 56; Bacteria - 5524; Metazoa - 15168; Fungi - 3990; Plants - 6285; Viruses - 1561; Other Eukaryotes - 4284 (source: NCBI BLink).
Bo5g013440,AT1G11060,unknown protein
Bo5g013430,AT1G11040,DNAJ chaperone C-terminal domain-containing protein
Bo5g013360,AT1G10910,INVOLVED IN: biological_process unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: PTAC2 (PLASTID TRANSCRIPTIONALLY ACTIVE2) (TAIR:AT1G74850.1); Has 17570 Blast hits to 5782 proteins in 175 species: Archae - 1; Bacteria - 18; Metazoa - 305; Fungi - 261; Plants - 16266; Viruses - 0; Other Eukaryotes - 719 (source: NCBI BLink).
Bo5g013350,AT1G10900,phosphatidylinositol-4-phosphate 5-kinase family protein
Bo5g013320,AT1G10870,AGD4 (ARF-GAP domain 4); ARF GTPase activator/ protein binding / zinc ion binding
Bo5g013310,AT1G10850,ATP binding / protein binding / protein kinase/ protein serine/threonine kinase
Bo5g013280,AT1G10790,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT3G56590.2); Has 40 Blast hits to 40 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo5g013270,AT1G10770,invertase/pectin methylesterase inhibitor family protein
Bo5g013260,AT1G10730,clathrin adaptor complexes medium subunit family protein
Bo5g012220,AT1G10680,PGP10 (P-GLYCOPROTEIN 10); ATPase coupled to transmembrane movement of substances
Bo5g012190,AT1G10650,protein binding / zinc ion binding
Bo5g012160,AT1G10640,polygalacturonase
Bo5g012130,AT1G10610,DNA binding / transcription factor
Bo5g012120,AT1G10600,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ubiquitin-dependent protein catabolic process; LOCATED IN: chloroplast; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Mov34/MPN/PAD-1 (InterPro:IPR000555); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G16144.1); Has 753 Blast hits to 752 proteins in 167 species: Archae - 0; Bacteria - 0; Metazoa - 359; Fungi - 199; Plants - 115; Viruses - 0; Other Eukaryotes - 80 (source: NCBI BLink).
Bo5g012110,AT1G10590,DNA-binding protein-related
Bo5g012100,AT1G10588,Encodes a Gibberellin-regulated GASA/GAST/Snakin family protein
Bo5g012060,AT1G10585,transcription factor
Bo5g012050,AT1G10580,transducin family protein / WD-40 repeat family protein
Bo5g012030,AT1G10570,OTS2 (OVERLY TOLERANT TO SALT 2); SUMO-specific protease/ cysteine-type peptidase
Bo5g012020,AT1G10560,PUB18 (PLANT U-BOX 18); ubiquitin-protein ligase
Bo5g012010,AT1G10522,unknown protein
Bo5g012000,AT1G10510,emb2004 (embryo defective 2004)
Bo5g011980,AT1G10500,ATCPISCA (chloroplast-localized IscA-like protein); structural molecule
Bo5g010950,AT1G10750,unknown protein
Bo5g010910,AT1G10470,ARR4 (RESPONSE REGULATOR 4); protein binding / transcription regulator/ two-component response regulator
Bo5g010900,AT1G10450,SNL6 (SIN3-LIKE 6)
Bo5g010890,AT1G10430,PP2A-2; protein serine/threonine phosphatase
Bo5g010880,AT1G10120,DNA binding / transcription factor
Bo5g010870,AT1G10417,Encodes protein with unknown function whose expression is repressed by inoculation with Agrobacterium tumerifaciens.
Bo5g010860,AT1G10410,INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1336 (InterPro:IPR009769); BEST Arabidopsis thaliana protein match is: CW14 (TAIR:AT1G59650.1); Has 144 Blast hits to 144 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 9; Fungi - 2; Plants - 115; Viruses - 0; Other Eukaryotes - 18 (source: NCBI BLink).
Bo5g010850,AT1G10390,nucleoporin family protein
Bo5g010800,AT1G10360,ATGSTU18 (GLUTATHIONE S-TRANSFERASE TAU 18); glutathione transferase
Bo5g010790,AT1G10350,DNAJ heat shock protein putative
Bo5g010780,AT1G10330,pentatricopeptide (PPR) repeat-containing protein
Bo5g010720,AT1G10300,GTP-binding protein-related
Bo5g010710,AT1G10290,ADL6 (DYNAMIN-LIKE PROTEIN 6); GTPase
Bo5g010700,AT1G10280,unknown protein
Bo5g010690,AT1G10270,GRP23 (GLUTAMINE-RICH PROTEIN23); binding
Bo5g010680,AT1G10240,FRS11 (FAR1-related sequence 11); zinc ion binding
Bo5g010650,AT1G10220,unknown protein
Bo5g010640,AT1G10210,ATMPK1 (MITOGEN-ACTIVATED PROTEIN KINASE 1); MAP kinase/ kinase
Bo5g010630,AT1G10200,WLIM1; transcription factor/ zinc ion binding
Bo5g010600,AT1G10170,ATNFXL1 (ARABIDOPSIS THALIANA NF-X-LIKE 1); protein binding / transcription factor/ zinc ion binding
Bo5g010590,AT1G10155,ATPP2-A10 (PHLOEM PROTEIN 2-A10)
Bo5g010570,AT1G10140,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP031279 (InterPro:IPR016972); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G58420.1); Has 38 Blast hits to 38 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).
Bo5g010530,AT1G10030,ERG28 (Arabidopsis homolog of yeast ergosterol28)
Bo5g010510,AT1G10020,unknown protein
Bo5g010470,AT1G10010,AAP8; amino acid transmembrane transporter
Bo5g010450,AT1G09980,INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF676 hydrolase-like (InterPro:IPR007751); BEST Arabidopsis thaliana protein match is: ZW18 (TAIR:AT1G58350.2); Has 342 Blast hits to 275 proteins in 70 species: Archae - 0; Bacteria - 0; Metazoa - 214; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 83 (source: NCBI BLink).
Bo5g010440,AT1G09970,LRR XI-23; ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
Bo5g010420,AT1G09960,SUT4 (SUCROSE TRANSPORTER 4); carbohydrate transmembrane transporter/ sucrose transmembrane transporter/ sucrose:hydrogen symporter/ sugar:hydrogen symporter
Bo5g010410,AT1G09950,transcription factor-related
Bo5g010340,AT1G09900,pentatricopeptide (PPR) repeat-containing protein
Bo5g010320,AT1G09880,lyase
Bo5g010310,AT1G09870,histidine acid phosphatase family protein
Bo5g010300,AT1G09860,ATPUP16; purine transmembrane transporter
Bo5g010290,AT1G09850,XBCP3 (xylem bark cysteine peptidase 3); cysteine-type endopeptidase/ cysteine-type peptidase
Bo5g010280,AT1G09840,ATSK41 (SHAGGY-LIKE PROTEIN KINASE 41); ATP binding / protein kinase/ protein serine/threonine kinase
Bo5g010270,AT1G09830,phosphoribosylamine--glycine ligase (PUR2)
Bo5g010260,AT1G09820,pentatricopeptide (PPR) repeat-containing protein
Bo5g010250,AT1G09815,POLD4 (POLYMERASE DELTA 4); DNA-directed DNA polymerase
Bo5g010240,AT1G09812,unknown protein
Bo5g010230,AT1G09810,ECT11 (evolutionarily conserved C-terminal region 11)
Bo5g010210,AT1G09800,tRNA pseudouridine synthase family protein
Bo5g010170,AT1G09770,ATCDC5 (ARABIDOPSIS THALIANA CELL DIVISION CYCLE 5); DNA binding / transcription factor
Bo5g010160,AT1G09760,U2A' (U2 small nuclear ribonucleoprotein A); protein binding
Bo5g010150,AT1G09740,ethylene-responsive protein putative
Bo5g010140,AT1G09730,Ulp1 protease family protein
Bo5g010130,AT1G09720,kinase interacting family protein
Bo5g010120,AT1G09710,DNA binding
Bo5g010110,AT1G09700,HYL1 (HYPONASTIC LEAVES 1); double-stranded RNA binding / miRNA binding / protein binding
Bo5g010090,AT1G09680,pentatricopeptide (PPR) repeat-containing protein
Bo5g010080,AT1G09665,Toll-Interleukin-Resistance (TIR) domain-containing protein
Bo5g010070,AT1G09660,KH domain-containing quaking protein putative
Bo5g010050,AT1G09630,ATRAB11C (ARABIDOPSIS RAB GTPASE 11C); GTP binding
Bo5g010040,AT1G09620,ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding
Bo5g010010,AT1G09580,emp24/gp25L/p24 family protein
Bo5g010000,AT1G09575,unknown protein
Bo5g009990,AT1G09570,PHYA (PHYTOCHROME A); G-protein coupled photoreceptor/ protein histidine kinase/ red or far-red light photoreceptor/ signal transducer
Bo5g009980,AT1G09560,GLP5 (GERMIN-LIKE PROTEIN 5); manganese ion binding / nutrient reservoir
Bo5g009920,AT1G09540,MYB61 (MYB DOMAIN PROTEIN 61); DNA binding / transcription factor
Bo5g009910,AT1G09530,PIF3 (PHYTOCHROME INTERACTING FACTOR 3); DNA binding / protein binding / transcription factor/ transcription regulator
Bo5g009900,AT1G09520,protein binding / zinc ion binding
Bo5g009840,AT1G09480,cinnamyl-alcohol dehydrogenase family / CAD family
Bo5g009830,AT1G09470,unknown protein
Bo5g009820,AT1G09440,protein kinase family protein
Bo5g009800,AT1G09390,GDSL-motif lipase/hydrolase family protein
Bo5g009790,AT1G09380,integral membrane family protein / nodulin MtN21-related
Bo5g009740,AT1G09360,invertase/pectin methylesterase inhibitor family protein
Bo5g009730,AT1G09340,CRB (CHLOROPLAST RNA BINDING); binding / catalytic/ coenzyme binding
Bo5g009720,AT1G09330,unknown protein
Bo5g009710,AT1G09320,agenet domain-containing protein
Bo5g009690,AT1G09280,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Rhodanese-like (InterPro:IPR001763) Protein of unknown function DUF341 (InterPro:IPR005645); BEST Arabidopsis thaliana protein match is: rhodanese-like domain-containing protein (TAIR:AT2G40760.1); Has 4342 Blast hits to 4339 proteins in 940 species: Archae - 0; Bacteria - 1695; Metazoa - 138; Fungi - 282; Plants - 108; Viruses - 0; Other Eukaryotes - 2119 (source: NCBI BLink).
Bo5g009670,AT1G09250,transcription factor
Bo5g009660,AT1G09240,NAS3 (NICOTIANAMINE SYNTHASE 3); nicotianamine synthase
Bo5g009640,AT1G09230,RNA recognition motif (RRM)-containing protein
Bo5g009550,AT1G09190,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: shoot apex sperm cell embryo flower seed; EXPRESSED DURING: petal differentiation and expansion stage D bilateral stage E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT5G56310.1); Has 12606 Blast hits to 4809 proteins in 101 species: Archae - 0; Bacteria - 0; Metazoa - 13; Fungi - 33; Plants - 12368; Viruses - 0; Other Eukaryotes - 192 (source: NCBI BLink).
Bo5g009540,AT1G09160,protein phosphatase 2C-related / PP2C-related
Bo5g009470,AT1G09140,SF2/ASF-like splicing modulator (SRP30)
Bo5g009460,AT1G09130,ATP-dependent Clp protease proteolytic subunit putative
Bo5g009450,AT1G09070,SRC2 (SOYBEAN GENE REGULATED BY COLD-2); protein binding
Bo5g009440,AT1G09040,unknown protein
Bo5g009420,AT1G09030,NF-YB4 (NUCLEAR FACTOR Y SUBUNIT B4); transcription factor
Bo5g009400,AT1G09020,SNF4 (HOMOLOG OF YEAST SUCROSE NONFERMENTING 4); protein kinase activator
Bo5g009390,AT1G09010,glycoside hydrolase family 2 protein
Bo5g009370,AT1G08940,phosphoglycerate/bisphosphoglycerate mutase family protein
Bo5g009330,AT1G08880,H2AXA; DNA binding
Bo5g009300,AT1G08820,VAP27-2 (VAMP/SYNAPTOBREVIN-ASSOCIATED PROTEIN 27-2); structural molecule
Bo5g009290,AT1G08810,MYB60 (myb domain protein 60); DNA binding / transcription factor
Bo5g009280,AT1G08800,unknown protein
Bo5g009270,AT1G08790,unknown protein
Bo5g009260,AT1G08780,AIP3 (ABI3-INTERACTING PROTEIN 3); unfolded protein binding
Bo5g009250,AT1G08770,PRA1.E (PRENYLATED RAB ACCEPTOR 1.E)
Bo5g009240,AT1G08760,unknown protein
Bo5g009190,AT1G08700,presenilin family protein
Bo5g009170,AT1G08660,glycosyl transferase family 29 protein / sialyltransferase family protein
Bo5g009150,AT1G08650,PPCK1 (PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE); kinase/ protein serine/threonine kinase
Bo5g009140,AT1G08640,unknown protein
Bo5g009100,AT1G08580,unknown protein
Bo5g009090,AT1G08570,ACHT4 (ATYPICAL CYS HIS RICH THIOREDOXIN 4); oxidoreductase acting on sulfur group of donors disulfide as acceptor
Bo5g009080,AT1G08550,NPQ1 (NON-PHOTOCHEMICAL QUENCHING 1); violaxanthin de-epoxidase
Bo5g009050,AT1G08520,CHLD; ATP binding / magnesium chelatase/ nucleoside-triphosphatase/ nucleotide binding
Bo5g009040,AT1G08510,FATB (fatty acyl-ACP thioesterases B); acyl carrier/ acyl-[acyl-carrier-protein] hydrolase
Bo5g009030,AT1G08490,CPNIFS (CHLOROPLASTIC NIFS-LIKE CYSTEINE DESULFURASE); cysteine desulfurase/ selenocysteine lyase/ transaminase
Bo5g009020,AT1G08470,strictosidine synthase family protein
Bo5g009010,AT1G08465,YAB2 (YABBY2); transcription factor
Bo5g009000,AT1G08430,ALMT1 (ALUMINUM-ACTIVATED MALATE TRANSPORTER 1); malate transmembrane transporter
Bo5g008990,AT1G08420,kelch repeat-containing protein / serine/threonine phosphoesterase family protein
Bo5g008970,AT1G08400,chromosome structural maintenance protein-related
Bo5g008950,AT1G08350,endomembrane protein 70 family protein
Bo5g008940,AT1G08320,bZIP family transcription factor
Bo5g008930,AT1G08315,armadillo/beta-catenin repeat family protein
Bo5g008900,AT1G08310,esterase/lipase/thioesterase family protein
Bo5g008890,AT1G08300,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: ATP binding (TAIR:AT4G13750.1); Has 55 Blast hits to 51 proteins in 25 species: Archae - 0; Bacteria - 0; Metazoa - 16; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 18 (source: NCBI BLink).
Bo5g008880,AT1G08290,zinc finger (C2H2 type) protein (WIP3)
Bo5g008870,AT1G08280,glycosyl transferase family 29 protein / sialyltransferase family protein
Bo5g008860,AT1G08270,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: embryo male gametophyte flower; EXPRESSED DURING: L mature pollen stage M germinated pollen stage petal differentiation and expansion stage D bilateral stage; CONTAINS InterPro DOMAIN/s: MIT (InterPro:IPR007330); BEST Arabidopsis thaliana protein match is: SKD1 (SUPPRESSOR OF K+ TRANSPORT GROWTH DEFECT1); ATP binding / nucleoside-triphosphatase/ nucleotide binding (TAIR:AT2G27600.1); Has 818 Blast hits to 818 proteins in 195 species: Archae - 70; Bacteria - 0; Metazoa - 385; Fungi - 107; Plants - 112; Viruses - 0; Other Eukaryotes - 144 (source: NCBI BLink).
Bo5g008850,AT1G08260,TIL1 (TILTED 1); DNA binding / DNA-directed DNA polymerase/ nucleic acid binding / nucleotide binding / zinc ion binding
Bo5g008830,AT1G08200,AXS2 (UDP-D-APIOSE/UDP-D-XYLOSE SYNTHASE 2); UDP-glucuronate decarboxylase
Bo5g008820,AT1G08190,vacuolar assembly protein putative (VPS41)
Bo5g008810,AT1G08180,unknown protein
Bo5g008800,AT1G08170,histone H2B family protein
Bo5g008790,AT1G08160,harpin-induced protein-related / HIN1-related / harpin-responsive protein-related
Bo5g008740,AT1G08070,pentatricopeptide (PPR) repeat-containing protein
Bo5g008730,AT1G08065,ACA5 (ALPHA CARBONIC ANHYDRASE 5); carbonate dehydratase/ zinc ion binding
Bo5g008720,AT1G08060,MOM (MORPHEUS MOLECULE)
Bo5g008690,AT1G08035,unknown protein
Bo5g008680,AT1G08030,unknown protein
Bo5g008670,AT1G08000,zinc finger (GATA type) family protein
Bo5g008650,AT1G07980,NF-YC10 (NUCLEAR FACTOR Y SUBUNIT C10); transcription factor
Bo5g008610,AT1G07960,ATPDIL5-1 (PDI-like 5-1)
Bo5g008580,AT1G07890,APX1 (ascorbate peroxidase 1); L-ascorbate peroxidase
Bo5g008570,AT1G07870,protein kinase family protein
Bo5g008540,AT1G07680,unknown protein
Bo5g008520,AT1G07705,transcription regulator
Bo5g008510,AT1G07710,ankyrin repeat family protein
Bo5g008500,AT1G07720,KCS3 (3-KETOACYL-COA SYNTHASE 3); acyltransferase/ catalytic/ transferase transferring acyl groups other than amino-acyl groups
Bo5g008450,AT1G07750,cupin family protein
Bo5g008440,AT1G07770,RPS15A (ribosomal protein s15a); structural constituent of ribosome
Bo5g008430,AT1G07795,unknown protein
Bo5g008420,AT1G07670,calcium-transporting ATPase
Bo5g008410,AT1G07660,histone H4
Bo5g008360,AT1G07640,OBP2; DNA binding / transcription factor
Bo5g008350,AT1G07630,PLL5; catalytic/ protein serine/threonine phosphatase
Bo5g008340,AT1G07620,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: GTP-binding protein Obg/CgtA (InterPro:IPR014100); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G02390.1); Has 447 Blast hits to 405 proteins in 72 species: Archae - 0; Bacteria - 6; Metazoa - 43; Fungi - 29; Plants - 122; Viruses - 3; Other Eukaryotes - 244 (source: NCBI BLink).
Bo5g008300,AT1G07570,APK1A; kinase/ protein serine/threonine kinase
Bo5g008290,AT1G07550,leucine-rich repeat protein kinase putative
Bo5g008270,AT1G07540,TRFL2 (TRF-LIKE 2); DNA binding
Bo5g008260,AT1G07520,scarecrow transcription factor family protein
Bo5g008240,AT1G07470,transcription factor IIA large subunit putative / TFIIA large subunit putative
Bo5g008230,AT1G07473,unknown protein
Bo5g008220,AT1G07440,tropinone reductase putative / tropine dehydrogenase putative
Bo5g008210,AT1G07430,protein phosphatase 2C putative / PP2C putative
Bo5g008180,AT1G07380,ceramidase family protein
Bo5g008170,AT1G07370,PCNA1 (PROLIFERATING CELLULAR NUCLEAR ANTIGEN); DNA binding / DNA polymerase processivity factor/ protein binding
Bo5g008160,AT1G07350,transformer serine/arginine-rich ribonucleoprotein putative
Bo5g008150,AT1G07340,ATSTP2 (SUGAR TRANSPORTER 2); carbohydrate transmembrane transporter/ monosaccharide transmembrane transporter/ sugar:hydrogen symporter
Bo5g008140,AT1G07320,RPL4; poly(U) binding / structural constituent of ribosome
Bo5g008130,AT1G07310,C2 domain-containing protein
Bo5g008120,AT1G07300,josephin protein-related
Bo5g008110,AT1G07290,nucleotide-sugar transmembrane transporter
Bo5g008100,AT1G07280,binding
Bo5g008090,AT1G07270,cell division control protein CDC6b putative (CDC6b)
Bo5g008070,AT1G07240,UGT71C5 (UDP-GLUCOSYL TRANSFERASE 71C5); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase transferring glycosyl groups
Bo5g008040,AT1G07200,ATP-dependent Clp protease ClpB protein-related
Bo5g008030,AT1G07180,NDA1 (ALTERNATIVE NAD(P)H DEHYDROGENASE 1); NADH dehydrogenase
Bo5g008020,AT1G07175,unknown protein
Bo5g008010,AT1G07170,LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: PHF5-like (InterPro:IPR005345); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30000.1); Has 292 Blast hits to 292 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 110; Fungi - 75; Plants - 47; Viruses - 0; Other Eukaryotes - 60 (source: NCBI BLink).
Bo5g008000,AT1G07160,protein phosphatase 2C putative / PP2C putative
Bo5g007990,AT1G07150,MAPKKK13; ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
Bo5g007970,AT1G07140,SIRANBP; Ran GTPase binding
Bo5g007940,AT1G07110,F2KP (FRUCTOSE-26-BISPHOSPHATASE); fructose-26-bisphosphate 2-phosphatase
Bo5g007930,AT1G07090,LSH6 (LIGHT SENSITIVE HYPOCOTYLS 6)
Bo5g007920,AT1G07060,unknown protein
Bo5g007900,AT1G07040,unknown protein
Bo5g007890,AT1G07025,mitochondrial substrate carrier family protein
Bo5g007880,AT1G07010,calcineurin-like phosphoesterase family protein
Bo5g007870,AT1G07000,ATEXO70B2 (exocyst subunit EXO70 family protein B2); protein binding
Bo5g007850,AT1G06990,GDSL-motif lipase/hydrolase family protein
Bo5g007840,AT1G06980,unknown protein
Bo5g007820,AT1G06930,unknown protein
Bo5g007800,AT1G06890,transporter-related
Bo5g007790,AT1G06870,signal peptidase putative
Bo5g007780,AT1G06850,AtbZIP52 (Arabidopsis thaliana basic leucine zipper 52); DNA binding / transcription factor
Bo5g007770,AT1G06840,leucine-rich repeat transmembrane protein kinase putative
Bo5g007760,AT1G06830,glutaredoxin family protein
Bo5g007750,AT1G06800,lipase class 3 family protein
Bo5g007730,AT1G06780,GAUT6 (Galacturonosyltransferase 6); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase transferring glycosyl groups
Bo5g007710,AT1G06760,histone H1 putative
Bo5g007700,AT1G06730,pfkB-type carbohydrate kinase family protein
Bo5g007660,AT1G06670,NIH (NUCLEAR DEIH-BOXHELICASE); DNA binding / DNA helicase
Bo5g007650,AT1G06660,unknown protein
Bo5g007620,AT1G06590,unknown protein
Bo5g007610,AT1G06560,NOL1/NOP2/sun family protein
Bo5g007580,AT1G06520,GPAT1 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 1); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase
Bo5g007570,AT1G06510,unknown protein
Bo5g007550,AT1G06475,unknown protein
Bo5g007540,AT1G06470,phosphate translocator-related
Bo5g007530,AT1G06460,ACD32.1 (ALPHA-CRYSTALLIN DOMAIN 32.1)
Bo5g007500,AT1G06420,unknown protein
Bo5g007490,AT1G06410,ATTPS7; alphaalpha-trehalose-phosphate synthase (UDP-forming)/ transferase transferring glycosyl groups / trehalose-phosphatase
Bo5g007440,AT1G06350,fatty acid desaturase family protein
Bo5g007430,AT1G06290,ACX3 (ACYL-COA OXIDASE 3); acyl-CoA oxidase
Bo5g007390,AT1G06270,pentatricopeptide (PPR) repeat-containing protein
Bo5g007380,AT1G06260,cysteine proteinase putative
Bo5g007370,AT1G06250,lipase class 3 family protein
Bo5g007350,AT1G06225,CLE3 (CLAVATA3/ESR-RELATED 3); protein binding / receptor binding
Bo5g007330,AT1G06190,ATP binding / ATPase coupled to transmembrane movement of ions phosphorylative mechanism
Bo5g007320,AT1G06180,ATMYB13 (MYB DOMAIN PROTEIN 13); DNA binding / transcription factor
Bo5g007310,AT1G06170,basic helix-loop-helix (bHLH) family protein
Bo5g007280,AT1G06160,ORA59 (OCTADECANOID-RESPONSIVE ARABIDOPSIS AP2/ERF 59); DNA binding / transcription activator/ transcription factor
Bo5g007270,AT1G06150,transcription factor
Bo5g007250,AT1G06140,pentatricopeptide (PPR) repeat-containing protein
Bo5g007190,AT1G06080,ADS1 (DELTA 9 DESATURASE 1); oxidoreductase
Bo5g007140,AT1G05970,unknown protein
Bo5g007130,AT1G05960,binding
Bo5g007110,AT1G05910,cell division cycle protein 48-related / CDC48-related
Bo5g007080,AT1G06620,2-oxoglutarate-dependent dioxygenase putative
Bo5g007060,AT1G05870,unknown protein
Bo5g007050,AT1G05860,unknown protein
Bo5g007040,AT1G05850,POM1 (POM-POM1); chitinase
Bo5g006970,AT1G05800,DGL (DONGLE); triacylglycerol lipase
Bo5g006950,AT1G05760,RTM1 (restricted tev movement 1); sugar binding
Bo5g006880,AT1G05670,UDP-glucoronosyl/UDP-glucosyl transferase family protein
Bo5g006870,AT1G05650,polygalacturonase putative / pectinase putative
Bo5g006850,AT1G05630,5PTASE13; inositol or phosphatidylinositol phosphatase
Bo5g006840,AT1G05610,APS2 (ADP-glucose pyrophoshorylase small subunit 2); glucose-1-phosphate adenylyltransferase/ nucleotidyltransferase/ transferase
Bo5g006830,AT1G05600,pentatricopeptide (PPR) repeat-containing protein
Bo5g006820,AT1G05580,ATCHX23 (CATION/H+ EXCHANGER 23); monovalent cation:proton antiporter/ sodium:hydrogen antiporter
Bo5g005750,AT1G05570,CALS1 (CALLOSE SYNTHASE 1); 13-beta-glucan synthase/ transferase transferring glycosyl groups
Bo5g005710,AT1G05530,UGT75B2 (UDP-GLUCOSYL TRANSFERASE 75B2); UDP-glucosyltransferase/ UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase transferring glycosyl groups
Bo5g005680,AT1G05500,NTMC2T2.1
Bo5g005670,AT1G05490,chr31 (chromatin remodeling 31); ATP binding / DNA binding / helicase/ nucleic acid binding
Bo5g005650,AT1G05470,CVP2 (COTYLEDON VASCULAR PATTERN 2); hydrolase/ inositol trisphosphate phosphatase
Bo5g005640,AT1G05460,SDE3 (SILENCING DEFECTIVE); RNA helicase
Bo5g005630,AT1G05450,protease inhibitor/seed storage/lipid transfer protein (LTP)-related
Bo5g005610,AT1G05440,unknown protein
Bo5g005600,AT1G05410,unknown protein
Bo5g005590,AT1G05420,OFP12 (OVATE FAMILY PROTEIN 12)
Bo5g005580,AT1G05385,photosystem II 11 kDa protein-related
Bo5g005570,AT1G05380,DNA binding
Bo5g005560,AT1G05370,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: shoot apex hypocotyl flower seed; EXPRESSED DURING: petal differentiation and expansion stage E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Cellular retinaldehyde-binding/triple function C-terminal (InterPro:IPR001251) Phosphatidylinositol transfer protein-like N-terminal (InterPro:IPR011074); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G22410.1); Has 283 Blast hits to 283 proteins in 74 species: Archae - 0; Bacteria - 0; Metazoa - 18; Fungi - 127; Plants - 122; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).
Bo5g005550,AT1G05350,thiF family protein
Bo5g005540,AT1G05340,unknown protein
Bo5g005530,AT1G05330,unknown protein
